Reference,Quantity,Identifier,Package,Value,Tolerance,Voltage,Current,Power,PN,Digikey,Adafruit
"D001","1","","","MSS1P6","","","","","","MSS1P6-M3/89AGICT-ND",""
"R413;R122;R022","3","","","680","","","","","","Y5681CT-ND",""
"D432;D613;D122;D023","4","","","RED","","","","","","754-1786-1-ND",""
"J401","1","","","CONN_01X04","","","","","","",""
"J301","1","","","CONN_02X03","","","","","","952-1921-ND",""
"U301","1","","","ADuM3221","","","","","","ADUM3221ARZ-ND",""
"J002","1","","","STANDOFF_GND","","","","","","",""
"R613","1","","","680","","","","","","P680JCT-ND",""
"J001;J006","2","","","USB_MICROB","","","","","","WM17141CT-ND",""
"R306","1","","","1.5k","","","","","","P1.5KJCT-ND",""
"D306;D401","2","","","GREEN","","","","","","754-1356-2-ND",""
"J102","1","","","CONN_01X02","","","","","","",""
"R117;R429;R604;R914","4","","","10k","","","","","","P17199CT-ND",""
"J101","1","","","Raspberry_Pi_1","","","","","","952-2548-ND",""
"D417","1","","","YELLOW","","","","","","754-1788-1-ND",""
"D022","1","","","BLUE","","","","","","754-1789-1-ND",""
"C420;C418;C406;C404;C002;C702;C510;C508;C513;C601;C802;C901","12","","","100nF","","","","","","445-5613-1-ND",""
"Y407","1","","","16MHz","","","","","","535-9675-1-ND",""
"C407;C408","2","","","22pF","","","","","","445-5588-1-ND",""
"U001","1","","","FT232RL","","","","","","768-1007-1-ND",""
"S429","1","","","SW_SPST","","","","","","SW1020CT-ND",""
"U401","1","","","ATMEGA328P-AU","","","","","","ATMEGA328P-15AZCT-ND",""
"C708","1","","","220nF","","","","","","445-5613-1-ND",""
"C710","1","","","4.7uF","","","","","","445-5613-1-ND",""
"U701","1","","","HMC5883L","","","","","","342-1082-1-ND",""
"U501","1","","","MPU9250","","","","","","1428-1019-1-ND",""
"U601","1","","","FGPMMOPA6H","","","","","","","https://www.adafruit.com/product/790"
"L601","1","","","Ferrite","","","","","","490-1051-1-ND",""
"C603","1","","","10uF","","","","","","445-4052-1-ND",""
"X611","1","","","uFL","","","","","","H122041-ND",""
"C604","1","","","220mF","","","","","","399-10941-1-ND",""
"D604","1","","","D_Schottky","","","","","","641-1520-1-ND",""
"U801","1","","","BMP180","","","","","","828-1027-1-ND",""
"U901","1","","","L3G4200D","","","","","","497-11071-1-ND",""
"C913","1","","","10nF","","","","","","445-5613-1-ND",""
"C914","1","","","470nF","","","","","","445-5613-1-ND",""
